iter	MultiClass
167	0.2602777995
168	0.2600098527
169	0.2597914045
170	0.2594420338
171	0.2590836421
172	0.2588162955
173	0.2585131945
174	0.2583126444
175	0.2580329853
176	0.257713518
177	0.2574037045
178	0.2570349131
179	0.2565689778
180	0.2562064682
181	0.2556959715
182	0.2553467246
183	0.255003395
184	0.2547904758
185	0.2544760306
186	0.2543056429
187	0.2539655793
188	0.2537470886
189	0.2534272745
190	0.2530720499
191	0.2528980824
192	0.2526634894
193	0.2522728132
194	0.2520673769
195	0.2518464772
196	0.2516205899
197	0.2514495321
198	0.2511716263
199	0.2508992573
200	0.2506740871
201	0.2504685715
202	0.2501681471
203	0.2498112814
204	0.2495496803
205	0.2493026602
206	0.2490371308
207	0.2486525062
208	0.2483821552
209	0.248016784
210	0.2477220492
211	0.2474293297
212	0.2471898127
213	0.2470083081
214	0.2467053494
215	0.2464236896
216	0.2461073286
217	0.2458391299
218	0.2454789085
219	0.2452671664
220	0.2447764017
221	0.2445331134
222	0.2442641875
223	0.2438878589
224	0.2434677986
225	0.2432766483
226	0.243117046
227	0.2429266798
228	0.2426397875
229	0.2423654504
230	0.242213961
231	0.2420531609
232	0.2417614852
233	0.2415515592
234	0.241153315
235	0.2409779502
236	0.2407547705
237	0.2404392309
238	0.2401616413
239	0.2398456488
240	0.2393813084
241	0.239086638
242	0.2388273344
243	0.2386509951
244	0.2382007001
245	0.2379077679
246	0.2376492435
247	0.2374214702
248	0.2372635511
249	0.2371184231
250	0.2368299582
251	0.2365629979
252	0.236302266
253	0.2360962591
254	0.2359518237
255	0.2357146323
256	0.2354439883
257	0.2352375067
258	0.2349432259
259	0.2346759572
260	0.2344145458
261	0.2340956448
262	0.2338988369
263	0.2337381118
264	0.2335758314
265	0.2331499433
266	0.2329565079
267	0.2327764546
268	0.2326840935
269	0.2324798525
270	0.2322898852
271	0.2320466932
272	0.2318559635
273	0.2316822234
274	0.2314044323
275	0.2310632168
276	0.2308830344
277	0.2305142665
278	0.230345978
279	0.230131248
280	0.2298060459
281	0.229558906
282	0.2293537893
283	0.2291469195
284	0.2290561698
285	0.2288060944
286	0.2285594408
287	0.2283672754
288	0.2281122237
289	0.2278969467
290	0.2276723109
291	0.2274300588
292	0.2271567204
293	0.2268631172
294	0.2267129135
295	0.2264603872
296	0.2261889663
297	0.2259726873
298	0.2258276543
299	0.2256197193
300	0.2253100664
301	0.2251406644
302	0.2249679809
303	0.2247456261
304	0.2246335614
305	0.2244874962
306	0.2242671324
307	0.2239388751
308	0.2236903311
309	0.2235164999
310	0.2232242234
311	0.2230341039
312	0.2228422433
313	0.22270793
314	0.2225504827
315	0.2224593899
316	0.2222196558
317	0.2220039589
318	0.2219117229
319	0.2217486178
320	0.2215286648
321	0.2212982874
322	0.2211133338
323	0.2209101218
324	0.2207264759
325	0.2206241929
326	0.2203964699
327	0.2202521941
328	0.2201087929
329	0.2199325044
330	0.2197919509
331	0.2196021165
332	0.2193352697
333	0.2191268249
334	0.2189854601
335	0.2188855478
336	0.2187287639
337	0.2186349134
338	0.2184979216
339	0.2183548502
340	0.2181904559
341	0.2179911849
342	0.2178721696
343	0.2177555105
344	0.217580198
345	0.2174937424
346	0.2171672733
347	0.2170552716
348	0.2168966443
349	0.21679111
350	0.2166545841
351	0.2164777415
352	0.2163156672
353	0.216110525
354	0.2159870025
355	0.2158288085
356	0.2156435051
357	0.2154270444
358	0.2151881938
359	0.2151237518
360	0.2149663517
361	0.2147804626
362	0.2145854025
363	0.2144747206
364	0.2143073041
365	0.2139044271
366	0.2137146579
367	0.2134821889
368	0.2132837017
369	0.2131479717
370	0.2130004337
371	0.2128988866
372	0.2127033333
373	0.2125626251
374	0.2123683649
375	0.2122261292
376	0.2120370779
377	0.2118931892
378	0.2117496212
379	0.2116066571
380	0.2113348359
381	0.2111821649
382	0.2109539566
383	0.2107405805
384	0.2105283943
385	0.2103371542
386	0.2102492573
387	0.2101103848
388	0.2098787259
389	0.2097967969
390	0.2096751894
391	0.2094915268
392	0.2093653361
393	0.2091874882
394	0.209084068
395	0.2089910518
396	0.2088709132
397	0.2087026879
398	0.2086151209
399	0.208483786
400	0.2083720414
401	0.2082616933
402	0.2081417785
403	0.2079706231
404	0.2078200621
405	0.2077295522
406	0.207609309
407	0.2075017897
408	0.2073171483
409	0.2072601097
410	0.2071828434
411	0.2070434545
412	0.2069667134
413	0.2067580408
414	0.2066959449
415	0.2066088838
416	0.2064851704
417	0.2063183857
418	0.2061715944
419	0.2060280718
420	0.2058631563
421	0.2057490668
422	0.2056352919
423	0.2054981111
424	0.2053289073
425	0.2052073537
426	0.2049916876
427	0.2046821792
428	0.2045775486
429	0.2045011166
430	0.2043705665
431	0.2042646944
432	0.204183031
433	0.204052775
434	0.2038257683
435	0.2037146963
436	0.2036203371
437	0.2035516546
438	0.2032928974
439	0.203168543
440	0.2029914808
441	0.2027224
442	0.2025709063
443	0.2024847754
444	0.2022421134
445	0.2020696495
446	0.2019138936
447	0.2017506811
448	0.2016562829
449	0.201483644
450	0.2012339324
451	0.2009954355
452	0.2008810969
453	0.2006696974
454	0.2004389098
455	0.2002897774
456	0.2001438254
457	0.2000136397
458	0.1999193378
459	0.1997896606
460	0.1996158774
461	0.1994154493
462	0.1992988932
463	0.1991866069
464	0.199079041
465	0.1989236099
466	0.1988529372
467	0.1986619872
468	0.198577374
469	0.1984909526
470	0.1983574782
471	0.1982329693
472	0.1980645702
473	0.1978991162
474	0.1977150283
475	0.1976322674
476	0.1974263508
477	0.1973191738
478	0.197165705
479	0.1970491791
480	0.1969640793
481	0.1967807756
482	0.1967072308
483	0.1965202167
484	0.1963406346
485	0.1961567067
486	0.1960593554
487	0.195995612
488	0.1959397103
489	0.1958014583
490	0.1957019842
491	0.1955825207
492	0.1954218378
493	0.195248246
494	0.1950346039
495	0.1949299158
496	0.1948709374
497	0.1947553125
498	0.1946792657
499	0.1945279923
500	0.1943605754
501	0.1941263803
502	0.1940238619
503	0.1938678089
504	0.1937597918
505	0.1935991701
506	0.1934870139
507	0.1933917647
508	0.1932320529
509	0.1930747003
510	0.1929859906
511	0.1928436043
512	0.1927835592
513	0.1926854722
514	0.1926057791
515	0.1924072766
516	0.1922916224
517	0.1922108782
518	0.1921377852
519	0.1920309229
520	0.1918395042
521	0.1917087418
522	0.1915819581
523	0.1915173765
524	0.191388267
525	0.1912500229
526	0.1911949099
527	0.1910368394
528	0.1909556182
529	0.1908007219
530	0.1906827474
531	0.1905774538
532	0.1904904981
533	0.1902696949
534	0.1901844284
535	0.1900794281
536	0.1899090546
537	0.1897612671
538	0.1896675651
539	0.1895383823
540	0.1893793237
541	0.1892166104
542	0.1890823769
543	0.1889782678
544	0.1888664997
545	0.1888037702
546	0.1886617924
547	0.1885166768
548	0.1883541947
549	0.1882048426
550	0.1880808457
551	0.1879851619
552	0.1879298809
553	0.1877730732
554	0.1876101473
555	0.1875490412
556	0.1874379952
557	0.1873347773
558	0.1871709675
559	0.1871304775
560	0.1870230393
561	0.186849259
562	0.1866535242
563	0.1865799751
564	0.1864459321
565	0.1863079068
566	0.1861932366
567	0.1861327026
568	0.185981479
569	0.1858663424
570	0.1857628323
571	0.1855986729
572	0.1854932024
573	0.1853967358
574	0.185302089
575	0.185254823
576	0.185151307
577	0.1849474181
578	0.184888271
579	0.1848031477
580	0.1846820317
581	0.1845377036
582	0.1844345785
583	0.1843524511
584	0.1842380646
585	0.184037796
586	0.1839322143
587	0.1838657766
588	0.183740458
589	0.1836584883
590	0.1835545132
591	0.183408129
592	0.1832918184
593	0.1831733436
594	0.1830809145
595	0.1829905465
596	0.1827404938
597	0.1826589362
598	0.1825123793
599	0.1823779797
600	0.1822589507
601	0.182074596
602	0.1819576153
603	0.1818171386
604	0.1817102121
605	0.1815936993
606	0.1814773133
607	0.1812645608
608	0.1811629985
609	0.1809149933
610	0.1808396933
611	0.1807518752
612	0.1806441463
613	0.1805667235
614	0.1803781386
615	0.1803046522
616	0.1802135189
617	0.1800992946
618	0.1800197447
619	0.1799085596
620	0.1798187873
621	0.1797062658
622	0.1796180495
623	0.1794907022
624	0.1793628225
625	0.1792370809
626	0.1790835509
627	0.1789858178
628	0.178880012
629	0.1787942733
630	0.1786914968
631	0.1785645429
632	0.1784839772
633	0.1783748541
634	0.178189406
635	0.1780705538
636	0.1780136003
637	0.1778280401
638	0.1776785735
639	0.1775713429
640	0.177446667
641	0.1773528738
642	0.1772927608
643	0.1771585258
644	0.1770402698
645	0.1769875736
646	0.1768972821
647	0.1768020129
648	0.1767375982
649	0.176663671
650	0.1765431344
651	0.1764563656
652	0.1763474416
653	0.1762661983
654	0.1761389811
655	0.1760413864
656	0.175894967
657	0.1758128183
658	0.1757155476
659	0.1756157248
660	0.1755459146
661	0.175415035
662	0.1753638351
663	0.1752928278
664	0.1751789274
665	0.175102616
666	0.1750448867
667	0.1749485901
668	0.1748168379
669	0.1747561682
670	0.1746155583
671	0.1744544224
672	0.1743302183
673	0.1742392261
674	0.1741798488
675	0.1740273635
676	0.1739395522
677	0.1737853677
678	0.173649306
679	0.1735571396
680	0.1734517766
681	0.1733449623
682	0.1732682314
683	0.1731735852
684	0.1729950817
685	0.1728252441
686	0.1727310555
687	0.1726588062
688	0.1725780634
689	0.1725194563
690	0.1723985585
691	0.1723460558
692	0.1722568775
693	0.172205991
694	0.1721127529
695	0.1718970674
696	0.1717936564
697	0.1717496135
698	0.171630892
699	0.171520728
700	0.1713642827
701	0.1712583712
702	0.1711864273
703	0.1710895232
704	0.1710322507
705	0.1709279128
706	0.1708208003
707	0.1707003083
708	0.1705543195
709	0.1704659448
710	0.1703815245
711	0.170294489
712	0.1701522048
713	0.170094514
714	0.1699473553
715	0.1698231738
716	0.1696861006
717	0.1696146178
718	0.1695548901
719	0.1694482677
720	0.1693378224
721	0.1692606803
722	0.1691702382
723	0.1691248793
724	0.1690190579
725	0.1689164965
726	0.1688446555
727	0.1687764818
728	0.1686895422
729	0.1686333493
730	0.1685867265
731	0.1685311277
732	0.1684489439
733	0.1683358213
734	0.1682483188
735	0.1681123688
736	0.1680132177
737	0.1679257826
738	0.1678875679
739	0.1678124754
740	0.1677523991
741	0.1675792592
742	0.1674696046
743	0.1673947309
744	0.1673270003
745	0.1672129552
746	0.1671092324
747	0.1670381224
748	0.1669682504
749	0.1668579664
750	0.1667679918
751	0.1666765953
752	0.1666044447
753	0.1665507663
754	0.1663769094
755	0.1662559264
756	0.1661346947
757	0.1659788063
758	0.1659228716
759	0.1658273292
760	0.1657226111
761	0.1656457614
762	0.1655463364
763	0.1654320915
764	0.165379168
765	0.1653163828
766	0.1652457225
767	0.1651904275
768	0.1651552032
769	0.1651012583
770	0.1650454009
771	0.1649269627
772	0.1648293072
773	0.1647861849
774	0.1647270307
775	0.1646043437
776	0.1645075099
777	0.164432815
778	0.1643797068
779	0.1643179101
780	0.1641831244
781	0.1641416127
782	0.1639959601
783	0.163940551
784	0.1638014747
785	0.1637160028
786	0.163594093
787	0.1634040364
788	0.1632730733
789	0.163170728
790	0.1631135677
791	0.1630546495
792	0.16297146
793	0.1628380908
794	0.1627887148
795	0.1626982475
796	0.1626426902
797	0.1625412735
798	0.1623451885
799	0.1622738426
800	0.1622176944
801	0.1621708024
802	0.1621153966
803	0.1620454096
804	0.1619759225
805	0.1618719631
806	0.1618147178
807	0.1617490851
808	0.1616164832
809	0.1615379794
810	0.161461015
811	0.1613188673
812	0.1612377909
813	0.161171619
814	0.1610492299
815	0.1609365004
816	0.160863897
817	0.1607224146
818	0.1605865852
819	0.1604500283
820	0.1603562771
821	0.1603126024
822	0.1602220979
823	0.1601186379
824	0.1600284093
825	0.1599931999
826	0.1598684826
827	0.1597883185
828	0.1597401028
829	0.1596697611
830	0.1596373476
831	0.1595637374
832	0.159416842
833	0.1592589962
834	0.1591734466
835	0.1590523495
836	0.1588797213
837	0.1587731173
838	0.1586871637
839	0.1585843343
840	0.1584755125
841	0.1583782792
842	0.15831922
843	0.1582313036
844	0.1581273089
845	0.1580146728
846	0.1578955003
847	0.1578442791
848	0.157785065
849	0.1577476218
850	0.157700585
851	0.1575914383
852	0.157494081
853	0.157454379
854	0.1573783314
855	0.1572799405
856	0.1572112582
857	0.1571443626
858	0.1570470479
859	0.1569804111
860	0.1569211615
861	0.1568304925
862	0.1567416716
863	0.156686697
864	0.1566307646
865	0.1565809491
866	0.1564958749
867	0.1564236134
868	0.1563254168
869	0.1562415348
870	0.1561524423
871	0.1560043146
872	0.1559070817
873	0.1558332935
874	0.1557053233
875	0.1556556739
876	0.155595029
877	0.1554902953
878	0.1554555641
879	0.1553810559
880	0.1553280547
881	0.1551985664
882	0.1551191833
883	0.1550178538
884	0.1549411618
885	0.1548722759
886	0.1548334877
887	0.1547623861
888	0.1546180864
889	0.1545649784
890	0.1545217467
891	0.1544491385
892	0.1543949651
893	0.1543316725
894	0.1542713955
895	0.1541483559
896	0.1540962893
897	0.1539568108
898	0.153862746
899	0.1537621307
900	0.1536331947
901	0.1535491522
902	0.1535140488
903	0.1534520356
904	0.1533159669
905	0.1532406884
906	0.1531949398
907	0.1531331793
908	0.1530731127
909	0.1529317853
910	0.152835276
911	0.1527647705
912	0.1526987078
913	0.1525832954
914	0.1525116672
915	0.1524562749
916	0.1523539393
917	0.1523160683
918	0.1522265392
919	0.1521308008
920	0.1520587948
921	0.1519934871
922	0.1519200444
923	0.1518398139
924	0.1517798527
925	0.1516999652
926	0.1516323621
927	0.1515704837
928	0.1515140865
929	0.1514542521
930	0.1513400915
931	0.1512359463
932	0.1511840314
933	0.1511382102
934	0.151080865
935	0.1509513564
936	0.1508363184
937	0.150769982
938	0.1506243476
939	0.1505766605
940	0.1505326959
941	0.1504948669
942	0.150465817
943	0.1504147861
944	0.1503527565
945	0.1503090482
946	0.1501749183
947	0.1501151912
948	0.1500183366
949	0.1499057317
950	0.1498664012
951	0.1497646175
952	0.1496317515
953	0.1495534528
954	0.1494733099
955	0.1494160932
956	0.1493116236
957	0.1492558507
958	0.1492226883
959	0.1491486982
960	0.1491107972
961	0.1489751437
962	0.148908237
963	0.1487678339
964	0.1486775163
965	0.1485989419
966	0.1485584908
967	0.1485028362
968	0.1484281448
969	0.1483359744
970	0.1482703137
971	0.1481295072
972	0.14808584
973	0.1480252927
974	0.1479702723
975	0.1479330142
976	0.1478329906
977	0.1477957901
978	0.1477182549
979	0.1476873993
980	0.1476073953
981	0.1475493762
982	0.1474850513
983	0.147394866
984	0.1473511713
985	0.1472717765
986	0.1471787046
987	0.1471166061
988	0.1470498032
989	0.1469856864
990	0.146908896
991	0.1468462852
992	0.1467703706
993	0.1466902355
994	0.1466332536
995	0.1465697219
996	0.1464926955
997	0.1463844528
998	0.1463307942
999	0.1462170397
