iter	Passed	Remaining
226	3497	11911
227	3510	11886
228	3523	11862
229	3536	11841
230	3551	11822
231	3566	11805
232	3581	11791
233	3597	11776
234	3615	11768
235	3632	11759
236	3649	11750
237	3668	11744
238	3687	11742
239	3707	11740
240	3729	11744
241	3748	11740
242	3765	11729
243	3780	11714
244	3796	11697
245	3810	11678
246	3824	11659
247	3838	11640
248	3852	11619
249	3866	11598
250	3879	11577
251	3893	11555
252	3906	11534
253	3919	11510
254	3931	11485
255	3943	11462
256	3959	11446
257	3972	11424
258	3984	11399
259	3997	11378
260	4011	11358
261	4024	11335
262	4038	11317
263	4052	11298
264	4066	11279
265	4080	11259
266	4093	11238
267	4107	11218
268	4120	11198
269	4134	11179
270	4147	11157
271	4160	11136
272	4173	11114
273	4186	11093
274	4200	11074
275	4214	11054
276	4226	11032
277	4240	11012
278	4253	10991
279	4266	10971
280	4280	10953
281	4293	10931
282	4306	10909
283	4318	10888
284	4331	10867
285	4344	10845
286	4357	10824
287	4370	10804
288	4383	10784
289	4396	10763
290	4409	10743
291	4422	10723
292	4436	10704
293	4448	10683
294	4461	10661
295	4474	10641
296	4486	10619
297	4501	10604
298	4514	10585
299	4531	10572
300	4544	10553
301	4557	10534
302	4571	10516
303	4586	10500
304	4601	10485
305	4614	10465
306	4627	10445
307	4641	10427
308	4655	10410
309	4668	10392
310	4683	10375
311	4698	10360
312	4714	10347
313	4730	10333
314	4744	10317
315	4763	10311
316	4781	10302
317	4808	10312
318	4834	10319
319	4859	10326
320	4880	10322
321	4899	10316
322	4917	10307
323	4933	10293
324	4952	10285
325	4969	10273
326	4987	10265
327	5010	10266
328	5034	10268
329	5055	10264
330	5074	10255
331	5090	10242
332	5106	10228
333	5122	10213
334	5137	10198
335	5153	10184
336	5169	10169
337	5187	10159
338	5206	10152
339	5222	10137
340	5238	10123
341	5252	10105
342	5267	10090
343	5287	10082
344	5306	10074
345	5325	10066
346	5345	10059
347	5363	10049
348	5381	10039
349	5398	10026
350	5414	10011
351	5431	9999
352	5449	9987
353	5464	9972
354	5481	9959
355	5496	9943
356	5511	9926
357	5526	9910
358	5541	9894
359	5557	9879
360	5575	9868
361	5593	9857
362	5608	9841
363	5624	9827
364	5640	9813
365	5656	9797
366	5670	9779
367	5683	9761
368	5697	9742
369	5711	9724
370	5723	9704
371	5737	9685
372	5750	9666
373	5764	9648
374	5778	9631
375	5792	9613
376	5806	9595
377	5821	9578
378	5835	9561
379	5850	9545
380	5864	9528
381	5878	9510
382	5891	9491
383	5907	9477
384	5923	9462
385	5938	9446
386	5953	9429
387	5968	9413
388	5982	9396
389	5996	9378
390	6011	9363
391	6025	9345
392	6038	9326
393	6052	9309
394	6066	9291
395	6080	9274
396	6093	9255
397	6106	9236
398	6120	9219
399	6134	9201
400	6149	9185
401	6165	9171
402	6180	9155
403	6195	9139
404	6210	9123
405	6223	9105
406	6237	9088
407	6252	9071
408	6266	9055
409	6280	9038
410	6293	9019
411	6307	9002
412	6322	8986
413	6337	8970
414	6352	8954
415	6366	8937
416	6379	8919
417	6394	8903
418	6408	8886
419	6422	8868
420	6436	8852
421	6450	8835
422	6464	8817
423	6477	8799
424	6490	8781
425	6506	8767
426	6523	8753
427	6543	8744
428	6560	8732
429	6577	8719
430	6593	8705
431	6608	8689
432	6623	8672
433	6636	8654
434	6649	8637
435	6664	8621
436	6678	8604
437	6691	8586
438	6704	8568
439	6718	8550
440	6730	8531
441	6744	8514
442	6757	8495
443	6771	8479
444	6785	8462
445	6799	8445
446	6812	8428
447	6827	8412
448	6841	8395
449	6855	8379
450	6870	8363
451	6884	8346
452	6898	8329
453	6911	8312
454	6925	8294
455	6938	8277
456	6951	8259
457	6963	8240
458	6976	8222
459	6990	8206
460	7006	8191
461	7021	8176
462	7038	8163
463	7055	8149
464	7072	8137
465	7092	8126
466	7113	8119
467	7135	8110
468	7165	8112
469	7197	8116
470	7219	8108
471	7238	8097
472	7258	8086
473	7277	8075
474	7294	8062
475	7309	8046
476	7324	8030
477	7338	8013
478	7352	7996
479	7366	7979
480	7379	7962
481	7392	7944
482	7405	7927
483	7420	7911
484	7433	7893
485	7445	7874
486	7457	7855
487	7469	7836
488	7481	7818
489	7494	7800
490	7507	7782
491	7520	7765
492	7534	7748
493	7548	7731
494	7561	7714
495	7575	7697
496	7588	7679
497	7601	7662
498	7614	7645
499	7627	7627
500	7640	7610
501	7654	7593
502	7666	7575
503	7679	7557
504	7692	7540
505	7705	7522
506	7717	7504
507	7729	7485
508	7741	7467
509	7752	7448
510	7763	7429
511	7775	7410
512	7787	7392
513	7798	7373
514	7810	7355
515	7822	7337
516	7834	7319
517	7846	7301
518	7858	7283
519	7871	7265
520	7882	7247
521	7895	7230
522	7908	7212
523	7922	7196
524	7934	7179
525	7946	7161
526	7958	7143
527	7970	7125
528	7983	7108
529	7995	7090
530	8008	7073
531	8021	7056
532	8035	7040
533	8048	7023
534	8059	7005
535	8072	6988
536	8085	6971
537	8097	6953
538	8110	6936
539	8123	6919
540	8135	6902
541	8147	6884
542	8160	6868
543	8172	6850
544	8185	6833
545	8198	6816
546	8212	6800
547	8227	6785
548	8240	6769
549	8256	6755
550	8269	6738
551	8283	6722
552	8296	6706
553	8309	6689
554	8322	6672
555	8335	6656
556	8348	6639
557	8360	6622
558	8373	6605
559	8386	6589
560	8398	6572
561	8411	6555
562	8424	6539
563	8438	6523
564	8451	6506
565	8463	6489
566	8475	6472
567	8488	6455
568	8500	6439
569	8515	6423
570	8529	6408
571	8542	6392
572	8555	6375
573	8568	6359
574	8581	6342
575	8593	6325
576	8606	6309
577	8618	6292
578	8631	6275
579	8643	6259
580	8656	6242
581	8669	6226
582	8682	6210
583	8695	6193
584	8709	6178
585	8723	6163
586	8738	6147
587	8754	6134
588	8769	6119
589	8786	6105
590	8803	6092
591	8821	6080
592	8838	6066
593	8855	6052
594	8870	6038
595	8886	6023
596	8901	6009
597	8918	5995
598	8936	5982
599	8966	5977
600	8996	5972
601	9030	5970
602	9065	5968
603	9092	5961
604	9123	5956
605	9154	5951
606	9205	5959
607	9257	5968
608	9301	5971
609	9323	5961
610	9360	5959
611	9376	5944
612	9392	5929
613	9412	5917
614	9427	5901
615	9440	5884
616	9454	5868
617	9469	5853
618	9483	5837
619	9501	5823
620	9517	5808
621	9536	5795
622	9552	5780
623	9566	5764
624	9581	5749
625	9597	5733
626	9614	5719
627	9633	5706
628	9653	5693
629	9671	5679
630	9697	5671
631	9723	5662
632	9759	5658
633	9784	5648
634	9807	5637
635	9831	5626
636	9854	5615
637	9874	5602
638	9894	5589
639	9914	5576
640	9935	5564
641	9951	5549
642	9967	5533
643	9984	5519
644	9999	5503
645	10014	5487
646	10029	5471
647	10049	5458
648	10062	5442
649	10075	5425
650	10088	5408
651	10101	5391
652	10113	5374
653	10125	5356
654	10138	5339
655	10151	5323
656	10163	5306
657	10176	5289
658	10189	5272
659	10202	5255
660	10214	5238
661	10227	5221
662	10239	5204
663	10253	5188
664	10265	5171
665	10278	5154
666	10291	5138
667	10303	5121
668	10317	5104
669	10329	5087
670	10342	5070
671	10354	5053
672	10366	5036
673	10379	5020
674	10391	5003
675	10403	4986
676	10417	4970
677	10432	4954
678	10445	4938
679	10460	4922
680	10474	4906
681	10487	4890
682	10501	4874
683	10514	4857
684	10528	4841
685	10542	4825
686	10555	4809
687	10568	4792
688	10581	4776
689	10595	4760
690	10614	4746
691	10633	4733
692	10657	4721
693	10681	4709
694	10706	4698
695	10727	4685
696	10751	4673
697	10772	4660
698	10791	4646
699	10812	4634
700	10831	4620
701	10846	4604
702	10860	4588
703	10874	4572
704	10888	4555
705	10903	4540
706	10916	4524
707	10929	4507
708	10941	4490
709	10954	4474
710	10969	4458
711	10982	4442
712	10995	4426
713	11008	4409
714	11020	4392
715	11033	4376
716	11045	4359
717	11058	4343
718	11070	4326
719	11082	4309
720	11094	4293
721	11107	4276
722	11120	4260
723	11132	4243
724	11145	4227
725	11156	4210
726	11169	4194
727	11181	4177
728	11193	4161
729	11205	4144
730	11217	4127
731	11229	4111
732	11242	4095
733	11258	4080
734	11276	4065
735	11292	4050
736	11308	4035
737	11324	4020
738	11338	4004
739	11352	3988
740	11366	3972
741	11380	3957
742	11394	3941
743	11408	3925
744	11422	3909
745	11435	3893
746	11450	3878
747	11464	3862
748	11477	3846
749	11491	3830
750	11507	3815
751	11521	3799
752	11535	3783
753	11549	3768
754	11561	3751
755	11573	3735
756	11585	3719
757	11598	3702
758	11610	3686
759	11622	3670
760	11634	3653
761	11647	3637
762	11658	3621
763	11670	3605
764	11682	3588
765	11694	3572
766	11707	3556
767	11721	3540
768	11733	3524
769	11746	3508
770	11759	3492
771	11771	3476
772	11783	3460
773	11795	3444
774	11807	3427
775	11819	3411
776	11831	3395
777	11843	3379
778	11856	3363
779	11869	3347
780	11884	3332
781	11897	3316
782	11912	3301
783	11927	3286
784	11943	3271
785	11959	3256
786	11977	3241
787	11997	3227
788	12021	3214
789	12048	3202
790	12069	3188
791	12089	3175
792	12107	3160
793	12124	3145
794	12140	3130
795	12155	3115
796	12173	3100
797	12189	3085
798	12203	3070
799	12218	3054
800	12231	3038
801	12243	3022
802	12256	3006
803	12269	2991
804	12282	2975
805	12294	2959
806	12306	2943
807	12319	2927
808	12332	2911
809	12344	2895
810	12356	2879
811	12369	2863
812	12381	2847
813	12393	2831
814	12406	2816
815	12418	2800
816	12431	2784
817	12444	2768
818	12458	2753
819	12472	2737
820	12486	2722
821	12501	2707
822	12519	2692
823	12535	2677
824	12550	2662
825	12565	2646
826	12579	2631
827	12593	2616
828	12608	2600
829	12623	2585
830	12637	2570
831	12650	2554
832	12662	2538
833	12675	2522
834	12688	2507
835	12702	2491
836	12716	2476
837	12729	2460
838	12742	2445
839	12754	2429
840	12767	2413
841	12779	2398
842	12792	2382
843	12805	2366
844	12817	2351
845	12830	2335
846	12842	2319
847	12855	2304
848	12868	2288
849	12881	2273
850	12893	2257
851	12905	2241
852	12917	2226
853	12929	2210
854	12942	2194
855	12954	2179
856	12967	2163
857	12979	2148
858	12991	2132
859	13003	2116
860	13016	2101
861	13030	2086
862	13044	2070
863	13057	2055
864	13069	2039
865	13081	2024
866	13093	2008
867	13106	1993
868	13118	1977
869	13130	1962
870	13143	1946
871	13155	1931
872	13167	1915
873	13179	1900
874	13191	1884
875	13203	1868
876	13217	1853
877	13229	1838
878	13241	1822
879	13253	1807
880	13265	1791
881	13278	1776
882	13290	1760
883	13302	1745
884	13315	1730
885	13327	1714
886	13339	1699
887	13352	1684
888	13365	1668
889	13377	1653
890	13389	1638
891	13401	1622
892	13413	1607
893	13426	1591
894	13439	1576
895	13453	1561
896	13466	1546
897	13479	1531
898	13492	1515
899	13505	1500
900	13518	1485
901	13530	1470
902	13542	1454
903	13555	1439
904	13568	1424
905	13584	1409
906	13598	1394
907	13612	1379
908	13625	1364
909	13637	1348
910	13650	1333
911	13663	1318
912	13676	1303
913	13689	1288
914	13702	1272
915	13715	1257
916	13728	1242
917	13743	1227
918	13761	1212
919	13777	1198
920	13793	1183
921	13810	1168
922	13827	1153
923	13844	1138
924	13862	1124
925	13881	1109
926	13899	1094
927	13918	1079
928	13940	1065
929	13957	1050
930	13975	1035
931	13992	1020
932	14008	1005
933	14024	991
934	14039	976
935	14053	960
936	14067	945
937	14080	930
938	14094	915
939	14108	900
940	14120	885
941	14133	870
942	14147	855
943	14162	840
944	14179	825
945	14196	810
946	14216	795
947	14231	780
948	14249	765
949	14269	751
950	14293	736
951	14315	721
952	14343	707
953	14370	692
954	14391	678
955	14412	663
956	14434	648
957	14451	633
958	14467	618
959	14487	603
960	14504	588
961	14521	573
962	14541	558
963	14559	543
964	14578	528
965	14597	513
966	14614	498
967	14632	483
968	14649	468
969	14666	453
970	14682	438
971	14700	423
972	14714	408
973	14728	393
974	14742	378
975	14757	362
976	14772	347
977	14786	332
978	14802	317
979	14815	302
980	14829	287
981	14842	272
982	14855	256
983	14869	241
984	14882	226
985	14895	211
986	14908	196
987	14921	181
988	14935	166
989	14948	150
990	14961	135
991	14973	120
992	14985	105
993	14998	90
994	15011	75
995	15024	60
996	15037	45
997	15050	30
998	15062	15
999	15075	0
